iter	Passed	Remaining
0	2	2534
1	4	2153
2	4	1595
3	5	1334
4	5	1192
5	7	1191
6	7	1102
7	8	1034
8	8	972
9	9	928
10	9	892
11	10	856
12	10	826
13	11	803
14	12	802
15	12	788
16	13	768
17	13	758
18	14	751
19	15	738
20	15	729
21	16	719
22	16	707
23	17	698
24	17	693
25	18	686
26	18	679
27	19	672
28	20	671
29	20	663
30	21	659
31	21	652
32	22	650
33	22	646
34	23	643
35	23	639
36	24	634
37	24	632
38	25	629
39	26	626
40	26	623
41	27	621
42	27	616
43	28	614
44	28	611
45	29	610
46	30	610
47	30	606
48	31	603
49	31	600
50	32	597
51	32	595
52	33	592
53	33	591
54	34	588
55	34	588
56	35	587
57	36	585
58	36	583
59	37	585
60	37	583
61	38	582
62	39	580
63	39	578
64	40	576
65	40	574
66	41	573
67	41	571
68	42	570
69	42	569
70	43	568
71	43	567
72	44	565
73	45	563
74	45	562
75	46	561
76	46	559
77	47	558
78	47	556
79	48	554
80	48	552
81	49	550
82	50	554
83	50	554
84	51	554
85	52	552
86	52	553
87	53	552
88	53	551
89	54	551
90	55	550
91	55	549
92	56	547
93	56	546
94	57	545
95	57	543
96	58	542
97	58	541
98	59	541
99	60	540
100	60	538
101	61	538
102	61	536
103	62	535
104	62	534
105	63	533
106	63	533
107	64	532
108	64	530
109	65	529
110	65	528
111	66	527
112	66	525
113	67	524
114	68	523
115	68	522
116	69	521
117	69	519
118	70	519
119	70	518
120	71	517
121	71	516
122	72	515
123	72	515
124	73	514
125	74	513
126	74	512
127	75	511
128	75	509
129	76	509
130	76	508
131	77	507
132	77	507
133	78	506
134	78	505
135	80	509
136	80	507
137	81	506
138	81	505
139	82	505
140	82	504
141	83	505
142	84	509
143	86	512
144	87	516
145	88	516
146	88	515
147	89	514
148	89	513
149	90	512
150	91	511
151	91	511
152	92	510
153	92	508
154	93	508
155	93	507
156	94	506
157	95	506
158	95	505
159	96	504
160	96	503
161	97	502
162	97	501
163	98	500
164	98	499
165	99	498
166	99	498
167	100	496
168	100	496
169	101	495
170	102	494
171	102	494
172	103	493
173	103	492
174	104	491
175	104	490
176	105	490
177	105	489
178	106	488
179	107	488
180	107	487
181	108	486
182	108	485
183	109	485
184	109	484
185	111	486
186	111	485
187	112	484
188	112	484
189	113	484
190	114	485
191	115	485
192	116	485
193	116	484
194	117	484
195	117	483
196	118	482
197	118	481
198	119	480
199	119	479
200	120	479
201	121	478
202	121	477
203	122	477
204	122	476
205	123	476
206	124	475
207	124	474
208	125	473
209	125	472
210	126	472
211	126	471
212	127	470
213	128	470
214	128	469
215	129	468
216	129	468
217	130	467
218	130	466
219	131	465
220	131	465
221	132	464
222	133	463
223	133	462
224	134	461
225	134	460
226	134	459
227	135	458
228	136	460
229	137	459
230	137	458
231	138	458
232	138	457
233	139	456
234	140	455
235	140	455
236	141	453
237	141	453
238	142	452
239	142	451
240	143	450
241	143	449
242	144	448
243	144	448
244	145	447
245	145	446
246	146	446
247	146	445
248	147	444
249	147	443
250	148	442
251	148	441
252	149	440
253	149	439
254	150	438
255	150	437
256	151	437
257	151	436
258	152	435
259	152	434
260	153	433
261	153	433
262	154	432
263	155	432
264	155	431
265	156	431
266	156	430
267	157	429
268	157	428
269	158	428
270	158	427
271	159	426
272	160	426
273	160	425
274	161	424
275	161	424
276	162	423
277	162	423
278	163	422
279	164	421
280	164	420
281	165	420
282	165	419
283	166	419
284	166	418
285	167	417
286	167	416
287	168	416
288	168	415
289	169	414
290	169	414
291	170	413
292	170	412
293	171	411
294	172	411
295	172	410
296	173	410
297	173	409
298	174	408
299	174	407
300	175	407
301	175	406
302	176	405
303	176	405
304	177	404
305	178	403
306	178	403
307	179	402
308	179	401
309	180	401
310	180	400
311	181	400
312	182	399
313	182	399
314	183	398
315	183	397
316	184	397
317	184	396
318	185	395
319	185	395
320	186	394
321	187	393
322	187	393
323	188	392
324	188	391
325	189	391
326	189	390
327	190	389
328	190	389
329	191	388
330	191	387
331	192	387
332	192	385
333	193	385
334	193	384
335	194	383
336	194	382
337	195	382
338	195	381
339	195	380
340	196	379
341	196	378
342	197	377
343	197	376
344	198	376
345	198	375
346	198	374
347	199	373
348	199	372
349	200	372
350	200	371
351	201	370
352	201	369
353	202	368
354	202	367
355	202	366
356	203	365
357	203	364
358	203	363
359	204	363
360	204	362
361	205	361
362	205	360
363	206	359
364	206	359
365	206	358
366	207	357
367	207	356
368	208	355
369	208	355
370	209	354
371	209	353
372	209	352
373	210	351
374	210	351
375	211	350
376	211	349
377	211	348
378	212	347
379	212	347
380	213	346
381	213	345
382	214	344
383	214	344
384	215	343
385	215	342
386	216	342
387	216	341
388	216	340
389	217	340
390	217	339
391	218	338
392	218	337
393	218	336
394	219	336
395	219	335
396	220	334
397	220	333
398	221	333
399	222	333
400	222	332
401	224	333
402	224	332
403	225	332
404	225	331
405	225	330
406	226	329
407	226	329
408	227	328
409	227	327
410	228	326
411	228	326
412	228	325
413	229	324
414	229	324
415	230	323
416	230	322
417	231	321
418	231	321
419	232	320
420	232	319
421	232	319
422	233	318
423	233	317
424	234	317
425	234	316
426	235	315
427	235	314
428	236	314
429	236	313
430	236	312
431	237	312
432	237	311
433	238	310
434	238	309
435	239	309
436	239	308
437	239	307
438	240	307
439	240	306
440	241	305
441	241	305
442	242	304
443	242	303
444	243	303
445	243	302
446	244	301
447	244	301
448	244	300
449	245	299
450	245	299
451	246	298
452	246	297
453	246	296
454	247	296
455	247	295
456	248	294
457	248	294
458	248	293
459	249	292
460	249	292
461	250	291
462	250	290
463	251	290
464	251	289
465	252	288
466	252	288
467	253	287
468	253	286
469	253	286
470	254	285
471	254	284
472	255	284
473	255	283
474	256	283
475	256	282
476	257	281
477	257	281
478	257	280
479	258	279
480	258	279
481	259	278
482	259	278
483	260	277
484	260	276
485	261	276
486	261	275
487	262	274
488	262	274
489	262	273
490	263	273
491	263	272
492	264	271
493	264	271
494	265	270
495	265	269
496	265	269
497	266	268
498	266	268
499	267	267
500	267	266
501	268	266
502	268	265
503	269	264
504	269	264
505	270	263
506	270	263
507	271	262
508	271	261
509	272	261
510	272	260
511	272	260
512	273	259
513	273	258
514	274	258
515	274	257
516	275	257
517	275	256
518	276	255
519	276	255
520	277	254
521	277	254
522	277	253
523	278	252
524	278	252
525	279	251
526	279	251
527	280	250
528	280	249
529	281	249
